Date,Open,High,Low,Close,Negativity,Positivity
1/2/2020,,,,,7.6,9.4
1/3/2020,,,,,15.9,13.1
1/4/2020,,,,,6.8,5.2
1/5/2020,,,,,4.7,4.4
1/6/2020,,,,,13.1,12.0
1/7/2020,,,,,14.5,15.2
1/8/2020,,,,,11.9,12.1
1/9/2020,,,,,14.6,10.7
1/10/2020,,,,,13.3,14.0
1/11/2020,,,,,8.8,6.4
1/12/2020,,,,,3.7,6.2
1/13/2020,,,,,10.9,13.5
1/14/2020,,,,,9.9,14.2
1/15/2020,,,,,11.5,14.8
1/16/2020,,,,,13.2,15.2
1/17/2020,,,,,14.0,13.2
1/18/2020,,,,,5.6,5.4
1/19/2020,,,,,4.2,6.6
1/20/2020,,,,,9.5,7.8
1/21/2020,,,,,13.5,14.0
1/22/2020,,,,,11.7,14.6
1/23/2020,,,,,15.5,16.2
1/24/2020,,,,,10.5,13.5
1/25/2020,,,,,7.2,6.4
1/26/2020,,,,,6.1,7.3
1/27/2020,,,,,12.9,13.9
1/28/2020,,,,,13.0,14.3
1/29/2020,,,,,9.1,13.6
1/30/2020,,,,,15.2,14.5
1/31/2020,,,,,14.9,15.8
2/1/2020,,,,,7.0,7.1
2/2/2020,,,,,4.8,5.0
2/3/2020,,,,,11.0,11.9
2/4/2020,,,,,12.4,15.6
2/5/2020,,,,,11.1,13.3
2/6/2020,,,,,15.0,16.1
2/7/2020,,,,,18.8,20.6
2/8/2020,,,,,6.3,4.6
2/9/2020,,,,,5.0,6.3
2/10/2020,,,,,8.7,11.6
2/11/2020,,,,,16.8,17.9
2/12/2020,,,,,10.9,17.5
2/13/2020,,,,,14.3,18.4
2/14/2020,,,,,13.9,14.7
2/15/2020,,,,,5.6,4.7
2/16/2020,,,,,2.7,4.2
2/17/2020,,,,,8.0,7.3
2/18/2020,,,,,10.0,11.7
2/19/2020,,,,,11.2,10.5
2/20/2020,,,,,13.2,19.7
2/21/2020,,,,,13.9,15.1
2/22/2020,,,,,4.0,6.0
2/23/2020,,,,,4.8,5.1
2/24/2020,,,,,10.2,11.6
2/25/2020,,,,,13.2,16.1
2/26/2020,,,,,14.7,13.9
2/27/2020,,,,,14.7,16.4
2/28/2020,,,,,13.5,12.9
2/29/2020,,,,,8.5,7.4
3/1/2020,,,,,6.6,5.5
3/2/2020,,,,,10.5,13.4
3/3/2020,,,,,9.5,15.8
3/4/2020,,,,,11.6,17.0
3/5/2020,,,,,15.0,19.4
3/6/2020,,,,,12.1,14.0
3/7/2020,,,,,7.4,4.2
3/8/2020,,,,,3.8,6.7
3/9/2020,,,,,12.5,9.6
3/10/2020,,,,,12.7,13.1
3/11/2020,,,,,12.7,14.3
3/12/2020,,,,,18.5,19.3
3/13/2020,,,,,15.0,16.9
3/14/2020,,,,,8.2,8.2
3/15/2020,,,,,5.5,8.9
3/16/2020,,,,,11.6,12.4
3/17/2020,,,,,15.9,16.7
3/18/2020,,,,,11.5,15.2
3/19/2020,,,,,14.4,15.9
3/20/2020,,,,,16.9,15.6
3/21/2020,,,,,5.3,6.3
3/22/2020,,,,,5.6,6.5
3/23/2020,,,,,13.7,12.3
3/24/2020,,,,,13.8,17.2
3/25/2020,,,,,13.2,16.9
3/26/2020,,,,,15.7,14.3
3/27/2020,,,,,15.5,16.5
3/28/2020,,,,,8.8,6.4
3/29/2020,,,,,7.2,4.0
3/30/2020,,,,,9.1,9.1
3/31/2020,,,,,11.3,12.8
4/1/2020,,,,,12.7,17.0
4/2/2020,38.4,38.5,38.4,38.4,15.7,15.3
4/3/2020,119.2,119.3,119.1,119.2,15.7,15.5
4/4/2020,,,,,8.3,6.3
4/5/2020,,,,,7.0,6.0
4/6/2020,129.7,129.8,129.6,129.7,12.0,11.7
4/7/2020,144.3,144.5,144.2,144.3,12.5,15.8
4/8/2020,138.1,138.2,138.0,138.1,15.7,15.5
4/9/2020,137.5,137.6,137.4,137.5,13.4,16.5
4/10/2020,,,,,13.8,14.7
4/11/2020,,,,,7.8,7.1
4/12/2020,,,,,6.1,6.1
4/13/2020,135.7,135.8,135.6,135.7,14.1,14.5
