Date,Avg. Open,Avg. High,Avg. Low,Avg. Close,Negativity,Positivity
2020-04-01,66,66,66,66,0.67,0.27
2020-04-02,66,66,66,66,0,0.5
2020-04-03,67,67,67,67,0.26,0.115
2020-04-07,69,69,69,69,0,0.275
2020-04-08,69,69,69,69,0,0
2020-04-09,66,66,66,66,0.201,0
2020-04-13,71,71,71,71,0,0
2020-04-16,76,76,76,76,0.1178,0.76
2020-04-17,75,75,75,75,0.251,0.1233
2020-04-21,74,74,74,74,0.203,0.36
2020-04-23,75,75,75,75,0,0
2020-04-28,72,72,72,72,0.416,0
2020-04-29,72,72,72,72,0.668,0
2020-04-30,72,72,72,72,0.127,0
2020-05-01,72,72,71,72,0.459,0
2020-05-05,70,70,70,70,0,0.502
2020-05-08,72,72,72,72,0,0.191
2020-05-11,73,73,73,73,0.401,0.49
2020-05-12,73,73,73,73,0.342,0.23
2020-05-14,72,72,72,72,0,0.148
2020-05-15,72,72,72,72,0.303,0
2020-05-18,74,74,74,74,0.31,0
2020-05-19,73,73,72,72,0,0
2020-05-20,73,73,73,73,0.123,0
2020-05-21,70,70,70,70,0.405,0.18
2020-05-22,71,71,71,71,0.436,0.97
2020-05-28,72,72,72,72,0.363,0.146
2020-06-01,66,66,66,66,0.999,0.74
2020-06-02,69,69,69,69,0.178,0.545
2020-06-11,69,69,69,69,0.219,0.511
2020-06-18,69,69,68,69,0.487,0.427
2020-06-19,70,70,70,70,0,0
2020-06-23,68,68,68,68,0.165,0
2020-06-24,67,67,67,67,0.156,0
2020-06-25,67,67,67,67,0.174,0
2020-06-26,67,67,67,67,0.872,0
2020-06-29,67,67,67,67,0,0
2020-06-30,67,67,67,67,0.361,0
2020-07-02,65,65,65,65,0.169,0.145
2020-07-07,69,69,69,69,0.228,0.764
2020-07-09,69,69,69,69,0,0
2020-07-15,71,71,71,71,0,0
2020-07-16,73,73,73,73,0,0
2020-07-17,71,71,71,71,0,0
2020-07-23,67,67,67,67,0,0
2020-07-24,68,68,68,68,0.206,0.159
2020-07-29,68,68,68,68,0.1238,0.477
2020-07-30,73,73,73,73,0,0.771
2020-08-03,72,72,72,72,0,0
2020-08-05,73,73,73,73,0,0.609
2020-08-10,72,72,72,72,0,0.163
2020-08-11,72,72,72,72,0,0.145
2020-08-13,73,73,73,73,0.703,0.208
2020-08-14,73,73,73,73,0.253,0
2020-08-18,74,75,74,74,0.421,0
2020-08-25,73,73,73,73,0,0.194
2020-08-26,75,75,75,75,0.145,0.156
2020-08-31,75,75,75,75,0.219,0.222
2020-09-01,73,73,73,73,0.201,0
2020-09-02,73,73,73,73,0.158,0.466
2020-09-04,72,72,72,72,0,0.214
2020-09-08,69,69,69,69,0.212,0.625
2020-09-10,72,72,72,72,0,0
2020-09-11,71,71,71,71,0.294,0
2020-09-14,70,70,70,70,0.214,0.148
2020-09-15,72,72,72,72,0,0
2020-09-16,73,73,73,73,0.772,0.219
2020-09-18,73,73,73,73,0,0
2020-09-21,71,71,71,71,0,0
2020-09-25,74,74,74,74,0.289,0
2020-09-28,73,73,73,73,0,0.214
2020-09-29,73,73,73,73,0,0.223
2020-09-30,74,74,74,74,0.525,0.521
2020-10-01,74,74,74,74,0,0
2020-10-05,72,72,72,72,0,0
2020-10-06,70,70,70,70,0.817,0.635
2020-10-07,72,72,72,72,0,0
2020-10-08,73,73,73,73,0.292,0
2020-10-09,73,73,73,73,0.384,0.108
2020-10-12,76,76,76,76,0,0.259
2020-10-13,79,80,79,79,0.279,0
2020-10-14,73,73,73,73,0,0
2020-10-15,71,71,71,71,0.213,0
2020-10-20,72,72,72,72,0.19,0
2020-10-22,70,70,70,70,0,0
2020-10-23,72,72,72,72,0.176,0
2020-10-27,69,69,69,69,0,0.608
2020-10-28,68,68,68,68,0.881,0
2020-10-29,68,68,68,68,0,0
2020-10-30,66,66,66,66,0.207,0.185
2020-11-10,67,67,67,67,0.309,0.591
2020-11-11,68,68,67,68,0,0
2020-11-13,69,69,69,69,0.384,0.204
2020-11-17,67,67,67,67,0.288,0.55
2020-11-18,68,68,68,68,0.499,0
2020-11-19,66,66,66,66,0.608,0
2020-11-20,66,66,66,66,0,0.544
2020-11-23,66,66,66,66,0.617,0
2020-11-25,68,68,68,68,0.166,0
2020-11-27,65,65,65,65,0,0.12
2020-11-30,66,66,66,66,0.419,0.773
2020-12-01,67,67,67,67,0,0.301
2020-12-03,69,69,69,69,0.191,0
2020-12-04,69,69,69,69,0,0.661
2020-12-09,71,71,71,71,0,0
2020-12-15,66,66,66,66,0.17,0.467
2020-12-22,67,67,67,67,0,0.288
2020-12-24,69,69,69,69,0,0.604
2020-12-28,66,66,66,66,0.204,0.128
2020-12-29,69,69,69,69,0,0
2020-12-31,70,70,70,70,0.124,0
2021-01-04,70,70,70,70,0,0.405
2021-01-05,71,71,71,71,0.343,0.42
2021-01-06,71,71,71,71,0.167,0.902
2021-01-07,72,72,72,72,0,0.231
2021-01-08,70,70,70,70,0.312,0.305
2021-01-13,75,75,75,75,0,0.187
2021-01-15,74,74,74,74,0.197,0.197
2021-01-20,73,73,73,73,0,0.401
2021-01-21,73,73,73,73,0,0
2021-01-22,77,77,77,77,0.234,0.259
2021-01-25,80,80,80,80,0.164,0
2021-01-26,82,82,82,82,0,0
2021-01-27,75,75,75,75,0,0
2021-02-04,74,74,74,74,0,0
2021-02-10,71,71,71,71,0.508,0.132
2021-02-11,70,70,70,70,0,0
2021-02-12,70,70,70,70,0.683,0
2021-02-18,72,72,72,72,0,0
2021-02-19,72,72,72,72,0.552,0.16
2021-02-22,72,72,72,72,0.326,0.274
2021-02-25,74,74,73,74,0.203,0.274
2021-02-26,77,77,77,77,0.267,0
2021-03-02,73,73,73,73,0.277,0.771
2021-03-04,70,70,70,70,0,0.954
2021-03-05,71,71,71,71,0.354,0
2021-03-09,72,72,72,72,0,0
2021-03-12,73,73,73,73,0.339,0.1247
2021-03-15,72,72,72,72,0,0.612
2021-03-16,71,71,71,71,0,0
2021-03-17,73,73,73,73,0,0.439
2021-03-18,74,74,74,74,0.494,0
