Date,Open,High,Low,Close,Negativity,Positivity
04/02/2020,54.8,54.9,54.8,54.8,15.7,15.3
04/03/2020,56.2,56.2,56.2,56.2,15.7,15.5
04/06/2020,58.5,58.6,58.5,58.5,12.0,11.7
04/07/2020,59.2,59.3,59.2,59.2,12.5,15.8
04/08/2020,59.4,59.4,59.3,59.4,15.7,15.5
04/09/2020,60.3,60.3,60.2,60.3,13.4,16.5
04/13/2020,59.9,59.9,59.8,59.9,14.1,14.5
04/14/2020,64.1,64.1,64.0,64.1,12.0,14.8
04/15/2020,62.2,62.3,62.2,62.2,12.8,18.4
04/16/2020,60.5,60.6,60.5,60.5,21.1,21.7
04/17/2020,61.1,61.2,61.1,61.1,22.7,33.2
04/20/2020,61.9,62.0,61.9,61.9,10.9,12.0
04/21/2020,60.4,60.4,60.4,60.4,12.3,16.9
04/22/2020,59.7,59.7,59.6,59.7,14.3,15.5
04/23/2020,59.3,59.3,59.2,59.3,11.4,14.3
04/24/2020,58.6,58.6,58.5,58.6,11.8,16.7
04/27/2020,59.2,59.2,59.2,59.2,9.1,10.5
04/28/2020,61.3,61.3,61.3,61.3,13.6,13.5
04/29/2020,63.1,63.2,63.1,63.1,12.2,14.7
04/30/2020,62.9,62.9,62.9,62.9,12.7,17.6
05/01/2020,60.4,60.4,60.4,60.4,11.6,14.7
05/04/2020,54.3,54.4,54.3,54.3,9.6,11.5
05/05/2020,55.9,55.9,55.9,55.9,11.4,12.9
05/06/2020,56.7,56.7,56.7,56.7,10.7,13.5
05/07/2020,56.8,56.8,56.7,56.8,15.5,16.2
05/08/2020,56.8,56.8,56.8,56.8,15.1,14.4
05/11/2020,57.5,57.5,57.4,57.5,11.2,10.4
05/12/2020,56.9,56.9,56.9,56.9,13.9,14.3
05/13/2020,55.3,55.4,55.3,55.3,11.2,11.6
05/14/2020,54.9,54.9,54.8,54.9,13.0,14.7
05/15/2020,55.1,55.2,55.1,55.1,16.0,16.5
05/18/2020,57.1,57.1,57.1,57.1,10.9,14.4
05/19/2020,58.2,58.2,58.2,58.2,12.0,12.3
05/20/2020,59.7,59.7,59.7,59.7,13.9,14.7
05/21/2020,59.7,59.7,59.6,59.6,13.4,14.5
05/22/2020,59.0,59.1,59.0,59.0,12.7,16.0
05/26/2020,60.5,60.5,60.4,60.5,9.0,12.8
05/27/2020,59.7,59.7,59.7,59.7,13.1,14.8
05/28/2020,60.0,60.0,59.9,59.9,13.7,12.6
05/29/2020,59.6,59.7,59.6,59.6,14.3,15.9
06/01/2020,61.0,61.0,60.9,61.0,17.7,9.7
