Date,Open,High,Low,Close,Negativity,Positivity
4/1/2020,839.90,840.40,839.30,839.80,12.71,16.98
4/2/2020,837.10,837.80,836.60,837.10,15.67,15.28
4/3/2020,854.00,854.40,853.50,853.90,15.75,15.48
4/6/2020,857.00,857.40,856.60,857.00,12.03,11.66
4/7/2020,889.30,889.80,888.70,889.20,12.46,15.75
4/8/2020,878.60,879.00,878.20,878.60,15.68,15.53
4/9/2020,905.80,906.30,905.40,905.80,13.43,16.51
4/13/2020,929.60,930.10,929.10,929.60,14.07,14.52
4/14/2020,"1,001.30","1,001.80","1,000.80","1,001.30",12.00,14.80
4/15/2020,999.20,999.80,998.60,999.20,12.82,18.43
4/16/2020,"1,007.80","1,008.60","1,007.10","1,007.80",21.15,21.73
4/17/2020,"1,024.00","1,024.60","1,023.40","1,024.00",22.69,33.15
4/20/2020,"1,018.00","1,018.50","1,017.40","1,018.00",10.93,11.99
4/21/2020,949.00,949.80,948.10,949.00,12.28,16.93
4/22/2020,952.50,953.00,952.00,952.50,14.26,15.48
4/23/2020,"1,034.70","1,035.20","1,034.10","1,034.70",11.44,14.34
4/24/2020,954.50,954.90,954.10,954.50,11.82,16.67
4/27/2020,992.10,992.50,991.60,992.10,9.13,10.46
4/28/2020,984.00,984.60,983.40,984.00,13.59,13.47
4/29/2020,"1,010.70","1,011.30","1,010.20","1,010.70",12.21,14.71
4/30/2020,"1,071.80","1,072.80","1,071.10","1,071.80",12.69,17.63
5/1/2020,"1,064.50","1,065.40","1,063.80","1,064.60",11.55,14.74
5/4/2020,"1,038.40","1,038.90","1,037.90","1,038.50",9.60,11.47
5/5/2020,"1,020.30","1,020.70","1,019.90","1,020.30",11.41,12.91
5/6/2020,"1,019.60","1,020.00","1,019.20","1,019.60",10.70,13.50
5/7/2020,"1,041.30","1,041.60","1,040.90","1,041.30",15.50,16.24
5/8/2020,"1,048.20","1,048.50","1,047.90","1,048.20",15.12,14.43
5/11/2020,"1,065.10","1,065.40","1,064.70","1,065.10",11.17,10.39
5/12/2020,"1,061.80","1,062.10","1,061.40","1,061.70",13.93,14.34
5/13/2020,"1,030.90","1,031.50","1,030.30","1,030.90",11.18,11.60
5/14/2020,"1,004.40","1,004.90","1,003.90","1,004.40",13.00,14.65
5/15/2020,"1,056.20","1,056.70","1,055.80","1,056.20",16.04,16.48
5/18/2020,"1,057.60","1,058.00","1,057.20","1,057.60",10.91,14.45
5/19/2020,"1,072.80","1,073.30","1,072.40","1,072.90",12.02,12.30
5/20/2020,"1,007.10","1,007.40","1,006.70","1,007.10",13.92,14.66
5/21/2020,"1,029.50","1,030.00","1,029.00","1,029.50",13.40,14.51
5/22/2020,"1,050.60","1,050.90","1,050.30","1,050.60",12.69,16.00
5/26/2020,"1,021.50","1,021.80","1,021.10","1,021.40",9.04,12.80
5/27/2020,987.60,988.10,987.10,987.60,13.09,14.78
5/28/2020,995.60,996.00,995.20,995.60,13.70,12.59
5/29/2020,"1,068.80","1,069.20","1,068.40","1,068.80",14.32,15.93
6/1/2020,"1,064.90","1,065.20","1,064.60","1,064.90",17.67,9.74
6/2/2020,"1,073.60","1,073.90","1,073.30","1,073.60",12.60,11.56
6/3/2020,"1,060.20","1,060.50","1,059.90","1,060.20",14.15,13.36
6/4/2020,"1,071.40","1,071.70","1,071.00","1,071.30",19.00,12.97
6/5/2020,"1,072.20","1,072.60","1,071.80","1,072.20",13.78,11.58
6/8/2020,"1,121.80","1,122.10","1,121.40","1,121.80",10.61,8.98
6/9/2020,"1,116.40","1,116.90","1,116.00","1,116.50",13.97,11.22
6/10/2020,"1,125.40","1,126.00","1,124.90","1,125.40",13.54,12.79
6/11/2020,"1,117.40","1,118.00","1,116.70","1,117.30",14.32,16.10
6/12/2020,"1,110.30","1,111.00","1,109.60","1,110.20",14.55,13.40
6/15/2020,"1,099.50","1,100.00","1,099.00","1,099.50",11.73,9.30
6/16/2020,"1,109.60","1,110.10","1,109.20","1,109.60",13.04,11.43
6/17/2020,"1,124.30","1,124.70","1,124.00","1,124.30",14.56,17.58
6/18/2020,"1,144.30","1,144.70","1,144.00","1,144.30",13.86,16.38
6/19/2020,"1,179.40","1,179.90","1,179.00","1,179.40",14.02,13.99
6/22/2020,"1,140.00","1,140.40","1,139.70","1,140.00",8.31,10.82
6/23/2020,"1,171.20","1,171.60","1,170.90","1,171.30",15.57,11.60
6/24/2020,"1,179.20","1,179.80","1,178.60","1,179.20",14.61,10.26
6/25/2020,"1,103.50","1,103.90","1,103.10","1,103.50",12.78,12.92
6/26/2020,"1,124.40","1,125.00","1,123.80","1,124.30",13.51,14.42
6/29/2020,"1,028.30","1,028.80","1,027.90","1,028.40",13.07,12.43
6/30/2020,"1,086.10","1,086.50","1,085.80","1,086.20",10.90,14.26
7/1/2020,"1,157.60","1,158.10","1,157.20","1,157.70",13.31,15.39
7/2/2020,"1,209.70","1,210.20","1,209.10","1,209.70",12.76,16.28
7/6/2020,"1,252.40","1,253.00","1,251.90","1,252.50",7.96,10.01
7/7/2020,"1,228.10","1,228.70","1,227.50","1,228.10",11.42,13.75
7/8/2020,"1,253.60","1,254.20","1,253.10","1,253.70",12.46,12.22
7/9/2020,"1,323.70","1,324.40","1,323.00","1,323.70",11.13,12.10
7/10/2020,"1,334.20","1,334.80","1,333.60","1,334.20",11.14,16.41
7/13/2020,"1,286.40","1,287.30","1,285.40","1,286.30",11.20,8.53
7/14/2020,"1,255.20","1,256.30","1,254.00","1,255.20",10.63,12.49
7/15/2020,"1,243.30","1,244.10","1,242.40","1,243.30",9.69,10.73
7/16/2020,"1,183.70","1,184.60","1,182.90","1,183.70",12.63,12.36
7/17/2020,"1,180.00","1,180.50","1,179.40","1,179.90",13.87,12.94
7/20/2020,"1,337.80","1,338.60","1,337.20","1,337.90",8.70,7.49
7/21/2020,"1,312.70","1,313.50","1,311.80","1,312.70",14.25,13.88
7/22/2020,"1,318.60","1,319.20","1,318.00","1,318.60",15.69,12.35
7/23/2020,"1,256.50","1,257.30","1,255.70","1,256.40",12.93,16.64
7/24/2020,"1,237.40","1,238.20","1,236.70","1,237.50",11.19,14.16
7/27/2020,"1,290.70","1,291.30","1,290.10","1,290.70",8.82,9.16
7/28/2020,"1,242.50","1,243.00","1,241.90","1,242.50",13.70,13.12
7/29/2020,"1,264.90","1,265.40","1,264.50","1,265.00",10.73,11.72
7/30/2020,"1,311.10","1,312.00","1,310.40","1,311.30",14.56,11.53
7/31/2020,"1,299.90","1,300.60","1,299.10","1,299.80",12.00,14.65
