,time,open,high,low,close
0,2022-03-22 16:01:00,90.27,90.27,90.27,90.27
1,2022-03-22 16:00:00,90.07,90.09,90.01,90.01
2,2022-03-22 15:59:00,90.0,90.0,90.0,90.0
3,2022-03-22 15:53:00,90.0,90.0,90.0,90.0
4,2022-03-22 15:14:00,90.195,90.195,90.195,90.195
5,2022-03-22 15:05:00,90.19,90.19,90.19,90.19
6,2022-03-22 15:01:00,90.32,90.32,90.32,90.32
7,2022-03-22 14:27:00,90.0,90.0,90.0,90.0
8,2022-03-22 14:22:00,90.175,90.175,90.175,90.175
9,2022-03-22 14:06:00,90.0,90.1,90.0,90.1
10,2022-03-22 13:27:00,90.0,90.1277,90.0,90.1277
11,2022-03-22 10:05:00,91.0,91.0,90.99,90.99
12,2022-03-22 09:55:00,91.04,91.095,91.04,91.095
13,2022-03-22 09:53:00,91.0,91.019,91.0,91.0
14,2022-03-22 09:46:00,92.1555,92.1555,92.1555,92.1555
15,2022-03-22 09:31:00,91.01,91.01,91.01,91.01
16,2022-03-21 16:00:00,90.56,90.59,90.56,90.59
17,2022-03-21 15:59:00,90.56,90.56,90.56,90.56
18,2022-03-21 15:58:00,90.61,90.61,90.61,90.61
19,2022-03-21 15:56:00,90.49,90.49,90.49,90.49
20,2022-03-21 15:52:00,90.39,90.39,90.39,90.39
21,2022-03-21 15:23:00,90.5,90.5,90.5,90.5
22,2022-03-21 15:01:00,90.5,90.5,90.5,90.5
23,2022-03-21 13:49:00,90.275,90.275,90.275,90.275
24,2022-03-21 13:23:00,90.3,90.3,90.3,90.3
25,2022-03-21 13:22:00,90.3,90.3,90.3,90.3
26,2022-03-21 12:56:00,90.5,90.5,90.5,90.5
27,2022-03-21 12:08:00,90.723,90.723,90.685,90.685
28,2022-03-21 11:53:00,91.1,91.1,90.72,90.72
29,2022-03-21 10:40:00,90.5,90.51,90.5,90.51
30,2022-03-21 10:39:00,90.55,90.55,90.502,90.502
31,2022-03-21 10:36:00,90.6,90.6,90.6,90.6
32,2022-03-21 10:35:00,90.693,90.693,90.693,90.693
33,2022-03-21 10:34:00,90.4,90.57,90.4,90.57
34,2022-03-21 10:32:00,90.55,90.55,90.49,90.49
35,2022-03-21 10:31:00,90.55,90.55,90.55,90.55
36,2022-03-21 10:25:00,90.85,90.85,90.85,90.85
37,2022-03-21 10:23:00,90.92,90.92,90.92,90.92
38,2022-03-21 09:48:00,91.05,91.05,91.05,91.05
39,2022-03-21 09:46:00,91.14,91.14,91.14,91.14
40,2022-03-18 16:02:00,90.83,90.83,90.83,90.83
41,2022-03-18 16:00:00,90.53,90.58,90.33,90.5
42,2022-03-18 15:59:00,90.51,90.51,90.51,90.51
43,2022-03-18 15:54:00,90.82,90.82,90.82,90.82
44,2022-03-18 15:52:00,90.6,90.6,90.6,90.6
45,2022-03-18 15:51:00,90.73,90.73,90.73,90.73
46,2022-03-18 15:50:00,90.73,90.73,90.73,90.73
47,2022-03-18 15:49:00,90.875,90.875,90.875,90.875
48,2022-03-18 15:47:00,90.73,90.73,90.73,90.73
49,2022-03-18 15:43:00,90.69,90.69,90.69,90.69
50,2022-03-18 15:38:00,90.78,90.78,90.75,90.75
51,2022-03-18 15:35:00,90.78,90.78,90.78,90.78
52,2022-03-18 15:32:00,90.885,90.885,90.885,90.885
53,2022-03-18 15:29:00,90.885,90.885,90.885,90.885
54,2022-03-18 15:17:00,90.46,90.56,90.46,90.47
55,2022-03-18 15:11:00,90.48,90.48,90.15,90.15
56,2022-03-18 15:05:00,90.15,90.15,90.15,90.15
57,2022-03-18 15:04:00,90.17,90.17,90.17,90.17
58,2022-03-18 15:03:00,90.5,90.5,90.5,90.5
59,2022-03-18 14:53:00,90.375,90.375,90.375,90.375
60,2022-03-18 14:42:00,90.15,90.15,90.15,90.15
61,2022-03-18 14:16:00,90.54,90.54,90.54,90.54
62,2022-03-18 14:11:00,90.5,90.5,90.5,90.5
63,2022-03-18 13:58:00,90.48,90.48,90.48,90.48
64,2022-03-18 13:53:00,90.71,90.71,90.71,90.71
65,2022-03-18 13:47:00,90.7,90.7,90.7,90.7
66,2022-03-18 13:45:00,90.375,90.375,90.375,90.375
67,2022-03-18 13:31:00,90.51,90.51,90.51,90.51
68,2022-03-18 13:18:00,90.47,90.47,90.47,90.47
69,2022-03-18 13:05:00,90.75,90.75,90.75,90.75
70,2022-03-18 12:52:00,90.75,90.75,90.75,90.75
71,2022-03-18 12:43:00,90.87,90.87,90.87,90.87
72,2022-03-18 12:39:00,90.75,90.75,90.75,90.75
73,2022-03-18 12:25:00,90.67,90.67,90.67,90.67
74,2022-03-18 11:52:00,90.345,90.345,90.345,90.345
75,2022-03-18 11:49:00,90.48,90.48,90.48,90.48
76,2022-03-18 11:48:00,90.5,90.5,90.5,90.5
77,2022-03-18 11:46:00,90.75,90.75,90.75,90.75
78,2022-03-18 11:29:00,90.68,90.68,90.65,90.65
79,2022-03-18 11:28:00,90.7,90.7,90.7,90.7
80,2022-03-18 11:27:00,90.7,90.7,90.7,90.7
81,2022-03-18 10:58:00,91.01,91.01,91.01,91.01
82,2022-03-18 10:57:00,91.18,91.18,91.0,91.0
83,2022-03-18 10:43:00,91.3,91.3,91.3,91.3
84,2022-03-18 10:41:00,91.31,91.31,91.31,91.31
85,2022-03-18 10:34:00,91.0,91.0,91.0,91.0
86,2022-03-18 10:07:00,91.0,91.0,91.0,91.0
87,2022-03-18 10:01:00,91.0,91.0,91.0,91.0
88,2022-03-18 09:55:00,90.9978,91.355,90.9978,91.355
89,2022-03-18 09:48:00,91.26,91.26,91.26,91.26
90,2022-03-18 09:31:00,91.26,91.26,91.26,91.26
91,2022-03-17 16:00:00,91.1,91.1,91.1,91.1
92,2022-03-17 15:59:00,90.86,90.86,90.86,90.86
93,2022-03-17 15:53:00,90.86,90.91,90.86,90.91
94,2022-03-17 15:51:00,91.01,91.01,91.01,91.01
95,2022-03-17 15:45:00,91.4999,91.4999,91.4999,91.4999
96,2022-03-17 15:28:00,91.0,91.0,91.0,91.0
97,2022-03-17 15:27:00,91.1,91.15,91.1,91.15
98,2022-03-17 14:40:00,91.0,91.0,91.0,91.0
99,2022-03-17 14:04:00,91.2,91.2,91.2,91.2
100,2022-03-17 13:31:00,91.02,91.02,91.02,91.02
